wardpc,wardname,province,district,alt_name,districtpc,pop_2012,f_pop_2012,m_pop_2012,households
150318,18,Matabeleland North,Hwange,,1503,3750,1882,1868,1214
170117,17,Midlands,Chirumhanzu,,1701,1883,977,906,570
110433,33,Manicaland,Makoni,,1104,2471,1246,1225,730
120812,12,Mashonaland Central,Mbire,,1208,6785,3493,3292,1509
150428,28,Matabeleland North,Lupane,,1504,1360,650,710,258
150718,18,Matabeleland North,Umguza,,1507,2005,1041,964,388
102103,3,Bulawayo,Bulawayo,,1021,29920,15648,14272,8018
102101,1,Bulawayo,Bulawayo,,1021,12258,6466,5792,3867
180317,17,Masvingo,Chivi,,1803,4458,2467,1991,983
180314,14,Masvingo,Chivi,,1803,5904,3174,2730,1201
160113,13,Matabeleland South,Beitbridge,,1601,2322,1043,1279,611
180616,16,Masvingo,Mwenezi,,1806,15089,7776,7313,3201
170818,18,Midlands,Zvishavane,,1708,4867,2549,2318,945
150301,1,Matabeleland North,Hwange,,1503,4076,1919,2157,960
180126,26,Masvingo,Bikita,,1801,4016,2111,1905,867
180125,25,Masvingo,Bikita,,1801,4259,2257,2002,992
170202,2,Midlands,Gokwe North,,1702,16075,8446,7629,3227
150104,4,Matabeleland North,Binga,,1501,3323,1852,1471,868
150409,9,Matabeleland North,Lupane,,1504,3022,1547,1475,598
150405,5,Matabeleland North,Lupane,,1504,4440,2307,2133,842
102105,5,Bulawayo,Bulawayo,,1021,18757,9926,8831,5303
120324,24,Mashonaland Central,Guruve,,1203,2105,1063,1042,498
140502,2,Mashonaland West,Makonde,,1405,12457,6080,6377,2766
120316,16,Mashonaland Central,Guruve,,1203,6722,3441,3281,1511
160520,20,Matabeleland South,Insiza,,1605,8368,4393,3975,1585
160519,19,Matabeleland South,Insiza,,1605,7692,3895,3797,1488
150102,2,Matabeleland North,Binga,,1501,4821,2717,2104,1200
160604,4,Matabeleland South,Matobo,,1606,4936,2614,2322,999
160602,2,Matabeleland South,Matobo,,1606,6078,3079,2999,1387
102104,4,Bulawayo,Bulawayo,,1021,25112,13052,12060,7380
170816,16,Midlands,Zvishavane,,1708,3941,2105,1836,841
110321,21,Manicaland,Chipinge,,1103,9223,5106,4117,1977
110320,20,Manicaland,Chipinge,,1103,18085,10151,7934,4494
110323,23,Manicaland,Chipinge,,1103,8573,4599,3974,1744
180519,19,Masvingo,Masvingo,,1805,3067,1675,1392,717
180512,12,Masvingo,Masvingo,,1805,7518,4150,3368,1639
180331,31,Masvingo,Chivi,,1803,3789,2055,1734,865
180522,22,Masvingo,Masvingo,,1805,7954,4316,3638,1602
160415,15,Matabeleland South,Gwanda,,1604,4713,2597,2116,1082
160423,23,Matabeleland South,Gwanda,,1604,6723,3119,3604,1762
180315,15,Masvingo,Chivi,,1803,4968,2697,2271,1072
180318,18,Masvingo,Chivi,,1803,4216,2303,1913,945
150319,19,Matabeleland North,Hwange,,1503,946,418,528,320
150317,17,Matabeleland North,Hwange,,1503,3194,1726,1468,689
150121,21,Matabeleland North,Binga,,1501,17370,9060,8310,3237
150311,11,Matabeleland North,Hwange,,1503,2956,1600,1356,728
170636,36,Midlands,Mberengwa,,1706,8695,4070,4625,1695
170602,2,Midlands,Mberengwa,,1706,11655,5571,6084,2543
160625,25,Matabeleland South,Matobo,,1606,5922,2760,3162,1653
160615,15,Matabeleland South,Matobo,,1606,5089,2595,2494,1082
160709,9,Matabeleland South,Umzingwane,,1607,2289,1196,1093,494
160623,23,Matabeleland South,Matobo,,1606,975,409,566,249
160622,22,Matabeleland South,Matobo,,1606,638,200,438,214
160317,17,Matabeleland South,Mangwe,,1603,3959,2139,1820,770
170819,19,Midlands,Zvishavane,,1708,4353,1958,2395,1040
170815,15,Midlands,Zvishavane,,1708,5007,2660,2347,1106
